0	MIND: Scalable Embedded Computing Through Advanced Processor in Memory (PIM) Architecture	Sterling, Thomas/CalTech-JPL	2002	2002/txt/sterling.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/sterling.pdf
1	A High Speed Signal Processing System	Ahlander, Anders/Ericsson Microwave Systems|Astrom, Anders/Ericsson Microwave Systems	2002	2002/txt/ahlander.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/ahlander.pdf
2	An Innovative High Performance Architecture for Vector and Matrix Math Algorithms	Anantha, Vera/Intrinsity, Inc.|Harle, Christophe/Intrinsity, Inc.|Olson, Tim/Intrinsity, Inc.|Yost, George/Intrinsity, Inc.|Parmet, Art/Intrinsity, Inc.	2002	2002/txt/anantha.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/anantha.pdf
3	Real-Time Geo-Registration on High-Performance Computers	Chao, Alan/ALPHATECH, Inc.|Burke, Monica/ALPHATECH, Inc.|Kurien, Thomas/Mercury Computer Systems, Inc.|Cico, Luke/Mercury Computer Systems, Inc	2002	2002/txt/chao.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/chao.pdf
4	Algorithmic Advances for Software Radios	Frigo, Matteo/Vanu Inc.	2002	2002/txt/frigo.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/frigo.pdf
5	The Raw Microprocessor: Enabling Embedded Signal Processing on a General Purpose Computer Architecture	Hoffmann, Henry/MIT|Strumpen, Volker/MIT|Agarwal, Anant/MIT	2002	2002/txt/hoffmann.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/hoffmann.pdf
6	A Study of the Common Component Architecture (CCA) Forum Software	Katz, Daniel/Jet Propulsion Laboratory-Caltech|Tisdale, Robert/Jet Propulsion Laboratory-Caltech|Norton, Charles/Jet Propulsion Laboratory-Caltech	2002	2002/txt/katz.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/katz.pdf
7	Signal Processing Architectures for Ultra-Wideband Wide-Angle Synthetic Aperture Radar Applications	Mitra, Atindra/AFRL|Germann, Joseph/SKY Computers, Inc.|Nehrbass, John/Ohio State University	2002	2002/txt/mitra.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/mitra.pdf
8	Implementing Image Processing Pipelines in a Hardware / Software Environment	Quinn, Heather/Northeastern University|Leeser, Miriam E./Northeastern University|Smith-King, Laurie/College of the Holy Cross	2002	2002/txt/quinn.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/quinn.pdf
9	Adaptive Framework for Automated Mapping and Architecture Trades for Embedded Heterogeneous Systems	Venkataramana, Raju/Tandel Systems, LLC|Philipose, Joseph/Tandel Systems, LLC	2002	2002/txt/venkataramana.prn.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/venkataramana.prn.pdf
10	Adaptive Beamforming using QR in FPGA	Walke, Richard/QinetiQ LTD	2002	2002/txt/walke.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/walke.pdf
11	Power Consumption of Customized Numerical Representations for Audio Signal Processing	Chamberlain, Roger/Washington University|Chew, Yen Hsiang/Washington University|DeAlwis, Varuna/Washington University|Hemmeter, Eric/Washington University|Lockwood, John/Washington University|Morley, Robert/Washington University|Richter, Ed/Washington University|White, Jason/Washington University|Zhang, Huakai/Washington University	2002	2002/txt/chamberlain.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/chamberlain.pdf
12	A Library of Parameterized Hardware Modules for Floating-Point Arithmetic and Its Use	Leeser, Miriam E./Northeastern University|Belanovic, Pavle/Northeastern University	2002	2002/txt/leeser.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/leeser.pdf
13	Generation of Custom DSP Transform IP Cores: Case Study Walsh-Hadamard Transform	Fang, Fang/Carnegie Mellon University|Hoe, James C./Carnegie Mellon University|Pueschel, Markus/Carnegie Mellon University|Misra, Smarahara/Carnegie Mellon University	2002	2002/txt/fang.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/fang.pdf
14	A Comparison of Two Computational Technologies for Digital Pulse Compression	Bonato, Michael/Catalina Research Inc.	2002	2002/txt/bonato.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/bonato.pdf
15	Short Vector SIMD Code Generation for DSP Algorithms	Franchetti, Franz/Technical University of Vienna|Pueschel, Markus/Carnegie Mellon University|Moura, Jose/Carnegie Mellon University|Ueberhuber, Christoph/Technical University of Vienna	2002	2002/txt/franchetti.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/franchetti.pdf
16	sc2 C-to-FPGA Compiler	Gokhale, Maya/Los Alamos National Laboratory|Stone, Jan/Stone Ergonaut|Frigo, Jan/Los Alamos National Laboratory|Ahrens, Christine/Los Alamos National Laboratory	2002	2002/txt/gokhale.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/gokhale.pdf
17	Monolithic Compiler Experiments using C++ Expression Templates	Mullin, Lenore/MIT Lincoln Laboratory|Rutledge, Edward M./MIT Lincoln Laboratory|Bond, Robert/MIT Lincoln Laboratory	2002	2002/txt/mullin.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/mullin.pdf
18	Streaming and Dynamic Compilers for High Performance Embedded Computing	Mattson, Peter/Reservoir Labs, Inc.|Springer, Jonathan/Reservoir Labs, Inc.|Garrett, Charles/Reservoir Labs, Inc.|Lethin, Richard/Reservoir Labs, Inc.	2002	2002/txt/mattson.prn.txt	http://www.ll.mit.edu/HPEC/agendas/proc02/abstracts/mattson.prn.pdf
